Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2019,SOUTHERN CARPET HARDWOOD & TILE IN,1,0,0,0,23,,AL,BIRMINGHAM,35209.0
2019,UAB HEALTH SYSTEM,0,0,0,1,56,,AL,BIRMINGHAM,35233.0
2019,BIRMINGHAM VA MEDICAL CENTER,0,0,1,0,62,,AL,BIRMINGHAM,35233.0
2019,GESTAMP ALABAMA LLC,1,0,0,0,33,,AL,MC CALLA,35111.0
2019,ARKANSAS HEALTH GROUP,0,0,1,0,62,,AR,LITTLE ROCK,72211.0
2019,UNIV OF ARKANSAS AT MONTICELLO,1,0,0,0,61,,AR,MONTICELLO,71656.0
2019,CAVE CREEK UNIFIED SCH DIST 93,1,0,0,0,61,,AZ,CAVE CREEK,85327.0
2019,PARADIGM TECH CONSULTING LLC D/B/A,1,0,1,0,54,,AZ,SCOTTSDALE,85260.0
2019,ATRONIX INC,0,0,1,0,33,,AZ,TUCSON,85706.0
2019,ADVANCED ONCOLOGY GROUP LLC,1,0,0,0,62,,CA,ARCADIA,91007.0
2019,TC SPOILERS INC,0,0,1,0,44,,CA,CITY OF INDUSTRY,91744.0
2019,APEXLOGISTICS INTL SFO INC,0,1,0,0,54,,CA,COMPTON,90221.0
2019,GUTHY RENKER LLC,0,0,1,0,54,,CA,EL SEGUNDO,90245.0
2019,INFORMATIVE RESEARCH INC,0,0,1,0,56,,CA,GARDEN GROVE,92843.0
2019,CALIFORNIA STATE UNIV EAST BAY,0,0,1,0,61,,CA,HAYWARD,94542.0
2019,FRIENDLY FRANCHISES CORPORATION,0,0,1,0,99,,CA,LA PALMA,90623.0
2019,BRANDMAN UNIVERSITY,1,0,0,0,61,,CA,LOS ANGELES,90008.0
2019,CHA HOLLYWOOD MEDICAL CENTER D/B/A,0,0,1,0,62,,CA,LOS ANGELES,90027.0
2019,DOTUM OYENUGA D/B/A ANALYSIS & SOL,0,1,0,0,54,,CA,LOS ANGELES,90034.0
2019,AZUSA PACIFIC UNIV,1,0,0,0,61,,CA,LOS ANGELES,90048.0
2019,KRANZ & ASSOCIATES HOLDINGS LLC,0,0,1,0,54,,CA,MENLO PARK,94025.0
2019,TANG ADVISORS LLC,1,0,0,0,52,,CA,SAN DIEGO,92121.0
2019,VSP SD CAPITAL PARTNERS I LLC D B,1,0,0,0,61,,CA,SAN DIEGO,92127.0
2019,NIESAR & VESTAL LLP,1,0,0,0,54,,CA,SAN FRANCISCO,94105.0
2019,IRONCLAD INC,1,0,0,0,54,,CA,SAN FRANCISCO,94107.0
2019,ROYAL BUSINESS BANK,0,0,1,0,52,,CA,SAN GABRIEL,91776.0
2019,FOOTHILL HEALTH CENTER D/B/A FOOTH,0,0,1,0,62,,CA,SAN JOSE,95127.0
2019,EOCELL INC,0,0,1,0,54,,CA,SAN JOSE,95131.0
2019,QUANTUM SECURE,1,0,0,0,51,,CA,SAN JOSE,95134.0
